"","x"
"1",0
"2",5.32205860711724e-07
"3",5.51639065102905e-07
"4",5.55557346031595e-07
"5",5.72890289312301e-07
"6",5.83165668864345e-07
"7",5.91156159504668e-07
"8",5.92462401740311e-07
"9",5.96424799291881e-07
"10",6.08372463935913e-07
"11",6.11582199629933e-07
"12",6.3071418586029e-07
"13",6.36201819771624e-07
"14",6.45101599958435e-07
"15",6.59341260188119e-07
"16",6.69890329387304e-07
"17",6.70605885990384e-07
"18",6.75607508700133e-07
"19",6.75838259006721e-07
"20",6.848196456858e-07
"21",6.8560563169806e-07
"22",6.92418082269261e-07
"23",6.93566856164006e-07
"24",6.96831027038449e-07
"25",7.09017485644692e-07
"26",7.20837645677891e-07
"27",7.23989394440831e-07
"28",7.27182173931935e-07
"29",7.27724572833903e-07
"30",7.28618814070155e-07
"31",7.30050384686186e-07
"32",7.34506258435954e-07
"33",7.3687764499779e-07
"34",7.47502171641683e-07
"35",7.49839577710567e-07
"36",7.51757978855318e-07
"37",7.51906231777672e-07
"38",7.53454604474685e-07
"39",7.55836659360645e-07
"40",7.5601251419231e-07
"41",7.66301732408887e-07
"42",7.73026270201806e-07
"43",7.73999172770688e-07
"44",7.79967377271771e-07
"45",7.80972319998802e-07
"46",7.81879587669508e-07
"47",7.84994367632967e-07
"48",7.86799761515392e-07
"49",7.86841039280379e-07
"50",7.90238381917249e-07
"51",7.92859581290788e-07
"52",7.97885026457332e-07
"53",8.00643808943516e-07
"54",8.01643457313205e-07
"55",8.02760219907835e-07
"56",8.04185429939632e-07
"57",8.05873896410417e-07
"58",8.23635565664917e-07
"59",8.23827150355978e-07
"60",8.24808896686262e-07
"61",8.36727977773716e-07
"62",8.36766248381707e-07
"63",8.47955132140112e-07
"64",8.4956535045295e-07
"65",8.54709478674059e-07
"66",8.56282494350077e-07
"67",8.56288584724699e-07
"68",8.62371971820605e-07
"69",8.64349058235892e-07
"70",8.65211072608407e-07
"71",8.6642841570061e-07
"72",8.67791726651084e-07
"73",8.695882067597e-07
"74",8.69986884605805e-07
"75",8.71026851917459e-07
"76",8.78957635613247e-07
"77",8.86962112378422e-07
"78",8.90654536545734e-07
"79",8.99439895687422e-07
"80",9.02290482618804e-07
"81",9.05249268889145e-07
"82",9.06629941641284e-07
"83",9.07763122484915e-07
"84",9.12303568280706e-07
"85",9.14133104935594e-07
"86",9.14304056934844e-07
"87",9.15368757794403e-07
"88",9.18857729562122e-07
"89",9.21944723336927e-07
"90",9.27191683510747e-07
"91",9.27247142327984e-07
"92",9.30719759135823e-07
"93",9.30774879696711e-07
"94",9.33244731039116e-07
"95",9.33900280693316e-07
"96",9.36794794303191e-07
"97",9.36918054440193e-07
"98",9.43890796279829e-07
"99",9.4389707028007e-07
"100",9.45878426426541e-07
"101",9.59804285574878e-07
"102",9.61123461589565e-07
"103",9.63259786405461e-07
"104",9.65374903824903e-07
"105",9.65811128830607e-07
"106",9.84355994149701e-07
"107",9.88506575322292e-07
"108",9.91906490222191e-07
"109",9.92095744957488e-07
"110",9.92105309480249e-07
"111",9.94019852245602e-07
"112",9.94307043062559e-07
"113",9.95530684735056e-07
"114",9.96196874864662e-07
"115",9.99676570520952e-07
"116",1.00214902673924e-06
"117",1.01864922137179e-06
"118",1.02367603817714e-06
"119",1.02728916799525e-06
"120",1.04244238293246e-06
"121",1.04464543582579e-06
"122",1.0456883375117e-06
"123",1.04579877794131e-06
"124",1.04998848827888e-06
"125",1.05064053584222e-06
"126",1.0545555918962e-06
"127",1.05500896218981e-06
"128",1.05667465227676e-06
"129",1.06366491666235e-06
"130",1.06576105862579e-06
"131",1.0665815287389e-06
"132",1.06718711101969e-06
"133",1.07428170533059e-06
"134",1.07555167633974e-06
"135",1.07624879286264e-06
"136",1.08095706952043e-06
"137",1.08419810242261e-06
"138",1.08432285583268e-06
"139",1.08787728664766e-06
"140",1.08900601162841e-06
"141",1.08904625598749e-06
"142",1.09869664368987e-06
"143",1.10293233282559e-06
"144",1.10362452654179e-06
"145",1.10415565900555e-06
"146",1.10611952117265e-06
"147",1.10643332266041e-06
"148",1.10930559068457e-06
"149",1.10992737924384e-06
"150",1.11361543349983e-06
"151",1.11408262379417e-06
"152",1.11493820477029e-06
"153",1.12067870618972e-06
"154",1.12669767346209e-06
"155",1.12812555360328e-06
"156",1.13022787940024e-06
"157",1.14006454253113e-06
"158",1.14894266644883e-06
"159",1.14966303181288e-06
"160",1.15192682065871e-06
"161",1.15826529995959e-06
"162",1.16036909118591e-06
"163",1.16202296649516e-06
"164",1.1635064431315e-06
"165",1.16849695162269e-06
"166",1.17109692394044e-06
"167",1.18092697662728e-06
"168",1.18355449996968e-06
"169",1.18371852916389e-06
"170",1.184009513821e-06
"171",1.18457250225311e-06
"172",1.18728498947919e-06
"173",1.18811813284326e-06
"174",1.18902392264376e-06
"175",1.18948234781053e-06
"176",1.19019141102953e-06
"177",1.19173493224129e-06
"178",1.19417256495472e-06
"179",1.19744522764581e-06
"180",1.19916260225673e-06
"181",1.20024448983578e-06
"182",1.20386723354819e-06
"183",1.2041656798218e-06
"184",1.20458478129719e-06
"185",1.20810210916937e-06
"186",1.21225063439051e-06
"187",1.21253103522505e-06
"188",1.22001587836476e-06
"189",1.22264164082558e-06
"190",1.22390804658518e-06
"191",1.22580779318897e-06
"192",1.23152199049692e-06
"193",1.23261790878379e-06
"194",1.23917223363341e-06
"195",1.24111886684154e-06
"196",1.25150152072182e-06
"197",1.25717128390732e-06
"198",1.25741228863088e-06
"199",1.26059145222713e-06
"200",1.26264744876959e-06
"201",1.26493223552789e-06
"202",1.26737392925498e-06
"203",1.2677804288125e-06
"204",1.27082569386057e-06
"205",1.27116104248631e-06
"206",1.27137662394745e-06
"207",1.27161567669887e-06
"208",1.27212373587469e-06
"209",1.27280269128994e-06
"210",1.27373491391184e-06
"211",1.27464679738451e-06
"212",1.27497062465528e-06
"213",1.27901726068693e-06
"214",1.28313495053618e-06
"215",1.28355590352564e-06
"216",1.28849225105813e-06
"217",1.29340039151589e-06
"218",1.29544944603373e-06
"219",1.29857711244882e-06
"220",1.3016919979621e-06
"221",1.3030000600262e-06
"222",1.30783418483982e-06
"223",1.30807725240479e-06
"224",1.30847866998714e-06
"225",1.31371914977366e-06
"226",1.31516861627468e-06
"227",1.31638218952559e-06
"228",1.31712050963964e-06
"229",1.31822504058965e-06
"230",1.32065193102769e-06
"231",1.32725699113751e-06
"232",1.32925885656185e-06
"233",1.32995901689872e-06
"234",1.33094327267326e-06
"235",1.33283581941788e-06
"236",1.33441383555017e-06
"237",1.33467936623607e-06
"238",1.34044186991093e-06
"239",1.34188218090769e-06
"240",1.34191803351067e-06
"241",1.34224746733898e-06
"242",1.34330407309091e-06
"243",1.34357066334261e-06
"244",1.3454431461091e-06
"245",1.34595598220554e-06
"246",1.35330014552132e-06
"247",1.35467491808184e-06
"248",1.35490625345967e-06
"249",1.35730107776038e-06
"250",1.36025254257785e-06
"251",1.36164062246267e-06
"252",1.36561813591427e-06
"253",1.36970213101158e-06
"254",1.37173399098447e-06
"255",1.37509770667601e-06
"256",1.37625656555003e-06
"257",1.37972952431699e-06
"258",1.38286499555395e-06
"259",1.38326385845676e-06
"260",1.39130682077266e-06
"261",1.39142535262336e-06
"262",1.39168551055401e-06
"263",1.39264376314923e-06
"264",1.39294103258772e-06
"265",1.39468416826121e-06
"266",1.39973422825884e-06
"267",1.40369688616957e-06
"268",1.40430851295697e-06
"269",1.40446747566117e-06
"270",1.40904980296653e-06
"271",1.4094748113381e-06
"272",1.41366058301164e-06
"273",1.41411236753838e-06
"274",1.41762185568388e-06
"275",1.4213347705084e-06
"276",1.42620715851824e-06
"277",1.4263533261251e-06
"278",1.4264387669558e-06
"279",1.42710032127471e-06
"280",1.42774294507825e-06
"281",1.42838344103408e-06
"282",1.43334380332204e-06
"283",1.4336821029648e-06
"284",1.4338128371303e-06
"285",1.43749865857345e-06
"286",1.43751012239941e-06
"287",1.44685873088764e-06
"288",1.44709697721082e-06
"289",1.45193953000932e-06
"290",1.4542034206215e-06
"291",1.45694708743128e-06
"292",1.45819659354421e-06
"293",1.45852667420278e-06
"294",1.46089242382595e-06
"295",1.48244201403577e-06
"296",1.48797617675717e-06
"297",1.4890100578714e-06
"298",1.49120598648527e-06
"299",1.49322460361701e-06
"300",1.49386911010793e-06
"301",1.49441567469211e-06
"302",1.496262775572e-06
"303",1.50077793084807e-06
"304",1.51221966785405e-06
"305",1.5131967328e-06
"306",1.51409647543482e-06
"307",1.51572880682101e-06
"308",1.51988070737561e-06
"309",1.52060124833473e-06
"310",1.5209376013583e-06
"311",1.5248226911089e-06
"312",1.52971622013957e-06
"313",1.5325641817315e-06
"314",1.53478492217773e-06
"315",1.54017316219085e-06
"316",1.54071967211307e-06
"317",1.54075916807613e-06
"318",1.54208384750657e-06
"319",1.54573787650365e-06
"320",1.54589879698444e-06
"321",1.54858456845166e-06
"322",1.55802991137116e-06
"323",1.55995700100786e-06
"324",1.56210471402674e-06
"325",1.56474998729307e-06
"326",1.56581439751173e-06
"327",1.56792389963997e-06
"328",1.5693212307687e-06
"329",1.5705712664592e-06
"330",1.57169848242603e-06
"331",1.57372157595585e-06
"332",1.57583212435739e-06
"333",1.5803525847712e-06
"334",1.58298848666353e-06
"335",1.58452904876184e-06
"336",1.59273452701792e-06
"337",1.59429617063947e-06
"338",1.59533364907141e-06
"339",1.59562151429556e-06
"340",1.59765106183846e-06
"341",1.59826775931661e-06
"342",1.6039071084485e-06
"343",1.60562523379181e-06
"344",1.60666451792878e-06
"345",1.61255425035566e-06
"346",1.61427000680993e-06
"347",1.61439156796524e-06
"348",1.61752078125512e-06
"349",1.62899636462483e-06
"350",1.63419080785451e-06
"351",1.63467372900709e-06
"352",1.63834620025236e-06
"353",1.63842962493818e-06
"354",1.63916035787924e-06
"355",1.64378987606948e-06
"356",1.64537173717639e-06
"357",1.6480125545553e-06
"358",1.65274407793228e-06
"359",1.65646651980694e-06
"360",1.66219156659542e-06
"361",1.66345624496637e-06
"362",1.66396974115633e-06
"363",1.66901218026709e-06
"364",1.66949921185195e-06
"365",1.67183433956045e-06
"366",1.67309733669854e-06
"367",1.67380430909242e-06
"368",1.67432182575052e-06
"369",1.68162892325182e-06
"370",1.68655922279825e-06
"371",1.68960561407402e-06
"372",1.69175109232904e-06
"373",1.69441731509398e-06
"374",1.7019344260445e-06
"375",1.70224608569511e-06
"376",1.71038070658037e-06
"377",1.71300610148854e-06
"378",1.71419121088607e-06
"379",1.71646825126844e-06
"380",1.72087202404066e-06
"381",1.72415227113529e-06
"382",1.72874379338071e-06
"383",1.7304646536322e-06
"384",1.73055728501099e-06
"385",1.73646220019469e-06
"386",1.73770686937279e-06
"387",1.73900323023836e-06
"388",1.74257504045622e-06
"389",1.75257052728539e-06
"390",1.7531579643804e-06
"391",1.75705164470952e-06
"392",1.76404025015034e-06
"393",1.77233392252548e-06
"394",1.77408195962906e-06
"395",1.77980484648943e-06
"396",1.78076437672195e-06
"397",1.78120873998351e-06
"398",1.78145571770085e-06
"399",1.79708850456147e-06
"400",1.80020246842766e-06
"401",1.80129176197421e-06
"402",1.80560751196872e-06
"403",1.80715112503689e-06
"404",1.80897082661136e-06
"405",1.81102158265387e-06
"406",1.81683363206331e-06
"407",1.8173463455283e-06
"408",1.81915243499692e-06
"409",1.82071166327789e-06
"410",1.82079597108497e-06
"411",1.82145974145786e-06
"412",1.8233099153343e-06
"413",1.8346377997364e-06
"414",1.83906576440245e-06
"415",1.83946142557446e-06
"416",1.83990702765539e-06
"417",1.84114492969496e-06
"418",1.85037248062172e-06
"419",1.86343739122347e-06
"420",1.86767907935629e-06
"421",1.86850746658275e-06
"422",1.87051381931692e-06
"423",1.88761374862847e-06
"424",1.88786216303383e-06
"425",1.88796151655561e-06
"426",1.89096506964181e-06
"427",1.89605541557374e-06
"428",1.90093483019709e-06
"429",1.90152267171249e-06
"430",1.90719103332997e-06
"431",1.91288904161307e-06
"432",1.9176671816699e-06
"433",1.91866629158519e-06
"434",1.93179357682245e-06
"435",1.93363011521578e-06
"436",1.94043143966814e-06
"437",1.94496563570269e-06
"438",1.94922941867538e-06
"439",1.94987716721235e-06
"440",1.95301574358542e-06
"441",1.95563538181662e-06
"442",1.96410084469711e-06
"443",1.96459596655437e-06
"444",1.98079614825749e-06
"445",1.98343659578732e-06
"446",1.98368270751248e-06
"447",1.99924557831251e-06
"448",2.00573029278089e-06
"449",2.01412327961766e-06
"450",2.0190252309074e-06
"451",2.02157656067102e-06
"452",2.02268950181118e-06
"453",2.03089900982926e-06
"454",2.03724147872096e-06
"455",2.03810893364134e-06
"456",2.03919088889234e-06
"457",2.061074971671e-06
"458",2.06187136611708e-06
"459",2.06697620010382e-06
"460",2.07250295175614e-06
"461",2.07479361508107e-06
"462",2.07839270688406e-06
"463",2.08467642000563e-06
"464",2.08480555326076e-06
"465",2.08715795307542e-06
"466",2.096764878844e-06
"467",2.09896924962771e-06
"468",2.09907477854563e-06
"469",2.10306206004537e-06
"470",2.10993939276917e-06
"471",2.11209650124257e-06
"472",2.11968932889466e-06
"473",2.13316720100556e-06
"474",2.13528636850641e-06
"475",2.13635266936104e-06
"476",2.15059124528628e-06
"477",2.15201261512058e-06
"478",2.15942381178281e-06
"479",2.16836803860225e-06
"480",2.18270952479585e-06
"481",2.18360611616081e-06
"482",2.18491133947172e-06
"483",2.20022276537583e-06
"484",2.20484310120061e-06
"485",2.20537445769131e-06
"486",2.2068587435562e-06
"487",2.20922924641515e-06
"488",2.21013683999277e-06
"489",2.21453042630783e-06
"490",2.21547823761096e-06
"491",2.21600411846304e-06
"492",2.21788009113105e-06
"493",2.23267695287885e-06
"494",2.24749132959832e-06
"495",2.25617946682923e-06
"496",2.2634480292683e-06
"497",2.27020698265405e-06
"498",2.27076611456746e-06
"499",2.27612044300455e-06
"500",2.27652783613408e-06
"501",2.28205369272625e-06
"502",2.28260403058964e-06
"503",2.28397717612059e-06
"504",2.29380102685737e-06
"505",2.30787748105118e-06
"506",2.31328686665318e-06
"507",2.31461117463245e-06
"508",2.32300160943768e-06
"509",2.32464428452629e-06
"510",2.33604998535748e-06
"511",2.36949732706738e-06
"512",2.37508247152346e-06
"513",2.38189441471838e-06
"514",2.3894177299701e-06
"515",2.42511368139441e-06
"516",2.44499934060273e-06
"517",2.45289449206956e-06
"518",2.4837437710276e-06
"519",2.48414310073603e-06
"520",2.48723905599907e-06
"521",2.48784388167296e-06
"522",2.49641957485525e-06
"523",2.50079090856798e-06
"524",2.5151207673149e-06
"525",2.52142051678571e-06
"526",2.52153843943573e-06
"527",2.5227417327518e-06
"528",2.52316091140381e-06
"529",2.53131172792957e-06
"530",2.53173787983336e-06
"531",2.54361629432306e-06
"532",2.56153524929696e-06
"533",2.57557370179759e-06
"534",2.57873192497982e-06
"535",2.58300608981446e-06
"536",2.59344318754028e-06
"537",2.60033209852602e-06
"538",2.60293985537928e-06
"539",2.62217584302897e-06
"540",2.64253380988048e-06
"541",2.65409451807675e-06
"542",2.6571174597958e-06
"543",2.65882747735245e-06
"544",2.6751468937328e-06
"545",2.68661151293151e-06
"546",2.72154994795294e-06
"547",2.72471587177142e-06
"548",2.77563974855852e-06
"549",2.78330702106265e-06
"550",2.78663153365155e-06
"551",2.7869865129452e-06
"552",2.80798053921862e-06
"553",2.81959359145116e-06
"554",2.82324916437908e-06
