"","x"
"1",0
"2",5.49577217001135e-07
"3",5.83335672381959e-07
"4",6.792094204937e-07
"5",7.1093213984972e-07
"6",7.47191258763909e-07
"7",7.81485601290864e-07
"8",7.9848210590825e-07
"9",9.40385367576491e-07
"10",1.04567475310375e-06
"11",1.07108261294521e-06
"12",1.14951603453252e-06
"13",1.19395698296379e-06
"14",1.19667866083869e-06
"15",1.20886441555615e-06
"16",1.2208765864575e-06
"17",1.23892370789159e-06
"18",1.2654286153684e-06
"19",1.31529602695817e-06
"20",1.31923098971471e-06
"21",1.37084765501451e-06
"22",1.38674217611231e-06
"23",1.40114045102663e-06
"24",1.4085183108971e-06
"25",1.46391065192845e-06
"26",1.4772516578874e-06
"27",1.5006898035376e-06
"28",1.50071543232638e-06
"29",1.50596259537229e-06
"30",1.51099434568153e-06
"31",1.53262329675567e-06
"32",1.55385109068589e-06
"33",1.58463897139627e-06
"34",1.58950206649458e-06
"35",1.60545316741108e-06
"36",1.6201710582441e-06
"37",1.62725566849587e-06
"38",1.63932409825593e-06
"39",1.6471177485967e-06
"40",1.66264544076706e-06
"41",1.66665182065562e-06
"42",1.71310258808868e-06
"43",1.74944924809759e-06
"44",1.77541206719845e-06
"45",1.77545124251808e-06
"46",1.77683065392513e-06
"47",1.77806101271121e-06
"48",1.79011861794864e-06
"49",1.82122174185747e-06
"50",1.83231492776865e-06
"51",1.8436628581049e-06
"52",1.85667812447105e-06
"53",1.85995941360519e-06
"54",1.91011424894651e-06
"55",1.9225221733685e-06
"56",1.92551291766292e-06
"57",1.94742877851278e-06
"58",1.97119680811142e-06
"59",1.97619247396459e-06
"60",1.97965577785603e-06
"61",1.98928850916307e-06
"62",2.00668272726912e-06
"63",2.02685984955486e-06
"64",2.05196922164754e-06
"65",2.06372560381809e-06
"66",2.08368513895609e-06
"67",2.09262869221169e-06
"68",2.11426031938629e-06
"69",2.12049424736091e-06
"70",2.12681572217936e-06
"71",2.12705973899517e-06
"72",2.13546525818115e-06
"73",2.13909628333083e-06
"74",2.14132965349072e-06
"75",2.15983107370698e-06
"76",2.16223790771885e-06
"77",2.17823435783878e-06
"78",2.18121278865648e-06
"79",2.18719069598637e-06
"80",2.23348462482301e-06
"81",2.23391206623422e-06
"82",2.2379861427648e-06
"83",2.24054471439738e-06
"84",2.25112401253238e-06
"85",2.25245821682974e-06
"86",2.27029100358024e-06
"87",2.27291295894693e-06
"88",2.27417002006823e-06
"89",2.2756917566713e-06
"90",2.28344603354675e-06
"91",2.29353911246186e-06
"92",2.2973716405178e-06
"93",2.30032142366644e-06
"94",2.30294825828172e-06
"95",2.31495258062894e-06
"96",2.33520839950951e-06
"97",2.35784910393165e-06
"98",2.38152333337878e-06
"99",2.38179663471933e-06
"100",2.40039094375627e-06
"101",2.40191291843129e-06
"102",2.4051615053983e-06
"103",2.41207450863918e-06
"104",2.41495493843815e-06
"105",2.42117768071163e-06
"106",2.44314042571075e-06
"107",2.47782328679861e-06
"108",2.4895631983628e-06
"109",2.49336766050096e-06
"110",2.56301590360445e-06
"111",2.5655521271612e-06
"112",2.60464009379113e-06
"113",2.61637175305706e-06
"114",2.62608447985936e-06
"115",2.63305789350483e-06
"116",2.66185049645387e-06
"117",2.67455094352985e-06
"118",2.67722854267297e-06
"119",2.68570045922944e-06
"120",2.69489579951474e-06
"121",2.70546187315127e-06
"122",2.74465578629319e-06
"123",2.74472585463334e-06
"124",2.75800504960734e-06
"125",2.76736247969492e-06
"126",2.77312153712336e-06
"127",2.77779356899199e-06
"128",2.79262449351709e-06
"129",2.80033739941125e-06
"130",2.83443080934659e-06
"131",2.84828174945019e-06
"132",2.84971652168581e-06
"133",2.86802056100376e-06
"134",2.87898519764649e-06
"135",2.88415758886985e-06
"136",2.8907272035068e-06
"137",2.89132443817221e-06
"138",2.90530063420691e-06
"139",2.91705783620656e-06
"140",2.92269213435194e-06
"141",2.9236356376286e-06
"142",2.92778524086161e-06
"143",2.93019518490849e-06
"144",2.93207857339122e-06
"145",2.93938594376972e-06
"146",2.9474076876421e-06
"147",2.94907166017728e-06
"148",2.95114930532874e-06
"149",2.95690535681944e-06
"150",2.97198018025337e-06
"151",2.98708520211471e-06
"152",3.00534147176919e-06
"153",3.0078220486003e-06
"154",3.01444499907835e-06
"155",3.02995871453458e-06
"156",3.03437039777891e-06
"157",3.05017078107245e-06
"158",3.07527917515988e-06
"159",3.07829544627637e-06
"160",3.08790972648332e-06
"161",3.09208509886627e-06
"162",3.09814634836584e-06
"163",3.11499234664912e-06
"164",3.12517875257468e-06
"165",3.1381610078374e-06
"166",3.14183334038671e-06
"167",3.15205975436323e-06
"168",3.17410109545493e-06
"169",3.18029590782261e-06
"170",3.20352566980197e-06
"171",3.22531463136828e-06
"172",3.23845830784553e-06
"173",3.24405861238567e-06
"174",3.2540141426991e-06
"175",3.2597014552179e-06
"176",3.27030045362459e-06
"177",3.27955083614943e-06
"178",3.28146474141588e-06
"179",3.28409231084318e-06
"180",3.30154913518902e-06
"181",3.31550969593263e-06
"182",3.31693582997006e-06
"183",3.32129597696555e-06
"184",3.34309876734499e-06
"185",3.34819105918173e-06
"186",3.36545488191648e-06
"187",3.3746540596119e-06
"188",3.37619133470865e-06
"189",3.37942894204919e-06
"190",3.38951047687879e-06
"191",3.39869759986468e-06
"192",3.41016248590258e-06
"193",3.42101506646989e-06
"194",3.42575410057136e-06
"195",3.44138001175308e-06
"196",3.44670487111855e-06
"197",3.44803332496354e-06
"198",3.44995974408238e-06
"199",3.45130739326645e-06
"200",3.46363902086184e-06
"201",3.47069233716975e-06
"202",3.4719149288546e-06
"203",3.48962014592655e-06
"204",3.49198152209527e-06
"205",3.49894551445499e-06
"206",3.50083278308452e-06
"207",3.53014441906813e-06
"208",3.54054209894232e-06
"209",3.54827597680417e-06
"210",3.55443473707226e-06
"211",3.55478369428099e-06
"212",3.56432298608546e-06
"213",3.58441936510326e-06
