,Alpha p-value,Alpha statistic,Beta p-value,Beta statistic,Epsilon p-value,Epsilon statistic,Delta p-value,Delta statistic
weight connectivities,1.1076151546135735e-10,0.0,1.1076151546135735e-10,0.0,0.08586916516428897,565.0,1.1076151546135735e-10,0.0
#nearest neighbors,0.001953125,0.0,0.001953125,0.0,0.001953125,0.0,0.921875,26.0
min. shared counts,9.5367431640625e-07,0.0,9.5367431640625e-07,0.0,9.5367431640625e-07,0.0,0.00019741058349609375,17.0
#HVGs,0.001953125,0.0,0.005859375,2.0,0.013671875,4.0,0.001953125,0.0
#PCs,0.00030517578125,3.0,0.01507568359375,18.0,0.0006103515625,5.0,0.01806640625,19.0
subsampling,6.464699767833184e-33,2.0,1.3845915992159824e-30,347.0,2.91832578443073e-30,396.0,1.0067721588097584e-11,3907.0
