,Alpha p-value,Alpha statistic,Beta p-value,Beta statistic,Epsilon p-value,Epsilon statistic,Delta p-value,Delta statistic
weight connectivities,5.5380757730678676e-11,1540.0,5.5380757730678676e-11,1540.0,0.042934582582144484,975.0,5.5380757730678676e-11,1540.0
#nearest neighbors,0.0009765625,55.0,0.0009765625,55.0,0.0009765625,55.0,0.5771484375,26.0
min. shared counts,4.76837158203125e-07,231.0,4.76837158203125e-07,231.0,4.76837158203125e-07,231.0,9.870529174804688e-05,214.0
#HVGs,0.0009765625,55.0,0.0029296875,53.0,0.0068359375,51.0,0.0009765625,55.0
#PCs,0.000152587890625,117.0,0.007537841796875,102.0,0.00030517578125,115.0,0.009033203125,101.0
subsampling,3.232349883916592e-33,18143.0,6.922957996079912e-31,17798.0,1.459162892215365e-30,17749.0,5.033860794048792e-12,14238.0
